"N";"Brute_force";"GreedyW";"GreedyDW";"HillClimbGrey";"HillClimbGod"
1;131;42;34;0;0
2;11;0;31;1;0
3;61;26;34;0;4
4;46;18;56;0;3
5;91;20;70;0;0
6;19;1;79;2;2
7;24;3;10;0;1
8;7;0;54;0;7
9;9;0;71;0;1
10;4;0;45;0;1
11;57;8;76;0;4
12;72;24;82;0;5
13;58;25;40;3;4
14;24;1;35;1;1
15;5;0;67;0;6
16;1;0;8;0;1
17;40;9;69;0;2
18;45;13;85;0;0
19;81;9;71;1;2
20;43;19;21;4;5
21;44;3;35;1;0
22;75;13;87;2;7
23;27;6;50;3;2
24;31;4;53;0;4
25;20;3;60;4;1
26;19;0;14;3;1
27;57;7;71;3;4
28;3;0;2;1;0
29;34;7;5;0;3
30;46;10;57;0;1
31;5;0;57;2;2
32;100;31;48;4;7
33;21;7;14;0;0
34;15;0;74;0;5
35;121;30;87;0;4
36;43;1;68;2;3
37;0;0;7;0;0
38;15;0;24;1;2
39;8;1;2;2;3
40;67;31;60;0;4
41;0;0;0;0;0
42;8;0;25;0;1
43;2;0;54;0;4
44;89;6;60;2;2
45;10;0;33;0;6
46;1;0;8;0;0
47;0;0;0;0;0
48;35;3;55;3;4
49;18;2;14;1;3
50;18;3;27;3;4
51;51;27;41;2;4
52;0;0;18;0;0
53;3;0;18;0;1
54;79;28;36;5;5
55;33;3;74;1;1
56;26;4;35;0;3
57;15;1;7;3;1
58;98;45;83;0;5
59;40;10;87;0;2
60;19;1;7;2;2
61;13;0;79;0;2
62;1;0;38;0;1
63;34;5;39;0;5
64;42;12;41;7;1
65;44;2;33;0;0
66;49;31;68;0;5
67;28;0;8;2;3
68;10;0;71;6;10
69;32;9;70;1;2
70;4;0;4;4;7
71;3;0;51;3;5
72;105;36;60;1;1
73;3;0;13;3;3
74;1;0;40;0;0
75;3;0;2;0;2
76;12;0;27;1;3
77;5;0;31;0;0
78;37;3;8;0;2
79;17;0;7;0;1
80;70;26;92;5;3
81;39;6;57;2;0
82;52;7;40;0;2
83;33;7;21;2;2
84;0;0;0;0;0
85;71;28;49;0;4
86;84;9;45;0;1
87;3;0;49;0;1
88;35;6;67;0;2
89;25;0;25;2;4
90;20;0;54;2;4
91;2;0;2;0;0
92;0;0;2;0;0
93;39;15;29;0;7
94;13;0;5;2;5
95;28;2;13;3;2
96;0;0;0;0;0
97;0;0;0;0;0
98;47;20;67;4;1
99;21;2;38;0;0
100;6;0;47;0;10
"N";"Brute_force";"=ÑÐÇÍÀ×(C2:C101)";"=ÑÐÇÍÀ×(D2:D101)";"=ÑÐÇÍÀ×(E2:E101)";"=ÑÐÇÍÀ×(F2:F101)"
